T,M,U
0.1368421052631579, 4096, -8192
0.1, 4096, -8192
0.12456140350877194, 4096, -8192
0.11228070175438597, 4096, -8192
0.16140350877192983, 4096, -8192
0.14912280701754388, 4096, -8192
0.18596491228070178, 4096, -8192
0.1736842105263158, 4096, -8192
0.22280701754385968, 4096, -8192
0.19824561403508772, 4096, -8192
0.2105263157894737, 4096, -8192
0.23508771929824565, 4096, -8192
0.2719298245614036, 4096, -8192
0.2596491228070176, 4096, -8192
0.2473684210526316, 4096, -8192
0.28421052631578947, 4096, -8192
0.3087719298245615, 4096, -8192
0.29649122807017547, 4096, -8192
0.32105263157894737, 4096, -8192
0.33333333333333337, 4096, -8192
0.3456140350877194, 4096, -8192
0.35789473684210527, 4096, -8192
0.38245614035087727, 4096, -8192
0.37017543859649127, 4096, -8192
0.39473684210526316, 4096, -8192
0.40701754385964917, 4096, -8192
0.41929824561403517, 4096, -8192
0.43157894736842106, 4096, -8192
0.45614035087719307, 4096, -8192
0.44385964912280707, 4096, -8192
0.46842105263157896, 4096, -8192
0.48070175438596496, 4096, -8192
0.5052631578947369, 4096, -8192
0.49298245614035097, 4096, -8192
0.5175438596491229, 4096, -8192
0.5298245614035089, 4096, -8192
0.5421052631578948, 4096, -8192
0.5543859649122808, 4096, -8192
0.5666666666666668, 4095.980004834008, -8191.92
0.5789473684210527, 4096, -8192
0.5912280701754387, 4095.980004834008, -8191.92
0.6035087719298247, 4096, -8192
0.6157894736842106, 4096, -8192
0.6280701754385966, 4095.980004834008, -8191.92
0.6403508771929826, 4095.980004834008, -8191.92
0.6526315789473685, 4095.980004834008, -8191.92
0.6649122807017545, 4095.980004834008, -8191.92
0.6771929824561405, 4095.960009570406, -8191.84
0.6894736842105263, 4095.880027539869, -8191.52
0.7017543859649124, 4095.9400142091927, -8191.76
0.7140350877192984, 4095.980004834008, -8191.92
0.7263157894736842, 4095.780057571451, -8191.16
0.7385964912280703, 4095.9400142091927, -8191.76
0.7508771929824563, 4095.8200399919915, -8191.28
0.7631578947368421, 4095.720068559374, -8190.88
0.7754385964912281, 4095.840035938904, -8191.36
0.7877192982456142, 4095.860031788196, -8191.44
0.8, 4095.5401255512074, -8190.2
0.812280701754386, 4095.5801103140443, -8190.32
0.824561403508772, 4095.64008184313, -8190.6
0.8368421052631579, 4095.5001989988964, -8190.04
0.849122807017544, 4095.1802353498438, -8188.72
0.86140350877193, 4095.0802287623133, -8188.36
0.8736842105263158, 4095.3201584247354, -8189.28
0.8859649122807018, 4094.720298140033, -8186.96
0.8982456140350878, 4094.9603074999395, -8187.84
0.9228070175438597, 4094.3404890165157, -8185.52
0.9105263157894737, 4094.5005312003564, -8186.12
0.9350877192982457, 4094.0806245114422, -8184.44
0.9473684210526316, 4094.2804886817416, -8185.32
0.9596491228070176, 4093.780526603741, -8183.44
0.9719298245614036, 4093.9205072888262, -8183.84
0.9842105263157895, 4093.5004140710676, -8182.08
0.9964912280701755, 4093.400786632064, -8181.88
1.0087719298245617, 4092.720933559971, -8179.04
1.0210526315789474, 4092.3610104681625, -8177.84
1.0333333333333334, 4092.020982350897, -8176.44
1.0456140350877194, 4091.70093237519, -8175.08
1.0578947368421054, 4091.12126439684, -8172.76
1.0824561403508774, 4090.341946585884, -8170.4
1.0701754385964914, 4091.1817314805267, -8173.44
1.0947368421052632, 4090.62097486433, -8170.96
1.1070175438596495, 4089.2812962671082, -8165.68
1.1315789473684212, 4087.8423550817124, -8160.48
1.1192982456140352, 4089.3217921802143, -8165.92
1.1438596491228072, 4087.882444493726, -8160.44
1.1561403508771932, 4086.6631131034032, -8155.88
1.1684210526315792, 4087.0025789079214, -8157.32
1.1807017543859653, 4085.2432583629584, -8150.52
1.192982456140351, 4083.96309483815, -8145.96
1.205263157894737, 4084.323336857649, -8146.92
1.217543859649123, 4082.5241897629953, -8140.36
1.229824561403509, 4082.742916226786, -8140.68
1.242105263157895, 4079.8057992997656, -8130
1.254385964912281, 4080.326398708809, -8132.52
1.2666666666666668, 4078.964299917321, -8127
1.2789473684210528, 4077.9452914427384, -8123.72
1.2912280701754388, 4075.606703301976, -8114.52
1.3035087719298248, 4074.525209150141, -8109.76
1.3157894736842108, 4073.485436330907, -8106.56
1.3280701754385968, 4072.206792391565, -8102
1.3403508771929826, 4069.5294469999844, -8092.56
1.3526315789473686, 4068.648325918572, -8088.84
1.3649122807017546, 4064.2687657191177, -8073.76
1.3771929824561406, 4065.92783015144, -8080.56
1.3894736842105266, 4061.331584591438, -8063.56
1.4017543859649126, 4060.3513690319955, -8059.28
1.4140350877192984, 4058.4524341182073, -8052.24
1.4263157894736844, 4056.814188498162, -8047.96
1.4385964912280704, 4056.353786345565, -8045.88
1.4508771929824564, 4051.856749688962, -8029.96
1.4631578947368424, 4048.5981030475227, -8019
1.4754385964912284, 4044.919692651512, -8008
1.4877192982456142, 4045.9197075572324, -8009.8
1.5000000000000002, 4041.522935726086, -7997.36
1.5122807017543862, 4035.8042420315683, -7974.64
1.5245614035087722, 4034.6615124443833, -7972.72
1.5368421052631582, 4030.8614463908334, -7958.56
1.5491228070175442, 4030.069835623199, -7955.36
1.56140350877193, 4024.6467720782653, -7937.16
1.573684210526316, 4021.7303290996524, -7928.56
1.585964912280702, 4016.3175870441323, -7909.96
1.598245614035088, 4016.647622084865, -7910
1.610526315789474, 4006.8636662606827, -7881.88
1.62280701754386, 4009.151062257445, -7886.44
1.6350877192982458, 3997.4313102291076, -7851.72
1.6473684210526318, 3997.7261837199408, -7852
1.6596491228070178, 3989.6695853165584, -7828.36
1.6719298245614038, 3983.4944056694744, -7804.76
1.6842105263157898, 3980.381338515193, -7796.88
1.6964912280701758, 3977.676633413028, -7786.96
1.7087719298245618, 3970.8527749086843, -7763.4
1.7210526315789476, 3963.4069435272477, -7745.8
1.7333333333333336, 3957.7317392668238, -7731.52
1.7456140350877196, 3947.4477830618607, -7696.28
1.7578947368421056, 3945.2192081049184, -7688.44
1.7701754385964916, 3941.712201569262, -7678.4
1.7824561403508776, 3932.9080741863268, -7651.6
1.7947368421052634, 3921.5717359242585, -7622.44
1.8070175438596494, 3905.8961020487986, -7577.8
1.8192982456140354, 3909.9466134462755, -7589.24
1.8315789473684214, 3905.2194560613366, -7570.96
1.8438596491228074, 3887.5200115240564, -7525.88
1.8561403508771934, 3882.6632045543174, -7510.6
1.8684210526315792, 3870.454686467728, -7473.48
1.8807017543859652, 3860.4801618451556, -7449.04
1.8929824561403512, 3856.7027212374046, -7443.88
1.9052631578947372, 3836.494238233651, -7389.44
1.9175438596491232, 3844.055140083191, -7404.6
1.9298245614035092, 3818.0645620523496, -7354.68
1.942105263157895, 3791.741214798288, -7283.52
1.954385964912281, 3786.19053931521, -7266.36
1.966666666666667, 3777.9905293687543, -7260.88
1.978947368421053, 3750.8386902131638, -7193.4
1.991228070175439, 3748.4410146086066, -7182.24
2.003508771929825, 3728.5113168662906, -7143.04
2.015789473684211, 3709.5175535371172, -7093.84
2.0280701754385966, 3683.1374777490996, -7039.36
2.040350877192983, 3664.399972710403, -7022.52
2.0526315789473686, 3643.4532520673297, -6969.96
2.064912280701755, 3642.5735078375565, -6966.64
2.0771929824561406, 3600.7813985300468, -6884.2
2.0894736842105264, 3593.426949306191, -6860.12
2.1017543859649126, 3564.793497525488, -6804.08
2.114035087719299, 3556.8341035252124, -6788.48
2.1263157894736846, 3488.780875893469, -6673.24
2.1508771929824566, 3416.4914810372347, -6572.84
2.1385964912280704, 3497.3428313506815, -6689.92
2.1631578947368424, 3321.794033350051, -6482.4
2.1754385964912286, 3310.035123680714, -6436.36
2.2, 3261.3947261869425, -6380.84
2.1877192982456144, 3270.6608873437185, -6404.64
2.2122807017543864, 3140.0031401258184, -6222.28
2.224561403508772, 3072.4146009287224, -6159.64
2.2368421052631584, 2954.2217858515633, -6066.04
2.249122807017544, 2776.320809992966, -5957.04
2.2614035087719304, 2750.4298718563978, -5941.08
2.273684210526316, 2328.6258952438025, -5741.6
2.32280701754386, 1337.0188779519906, -5203.8
2.298245614035088, 1470.5313189456388, -5383.72
2.310526315789474, 1760.0945429152378, -5439.36
2.285964912280702, 2127.397113845932, -5599.76
2.3473684210526318, 1152.1865821124632, -5168.08
2.335087719298246, 1585.2969690250468, -5434.04
2.359649122807018, 588.1187295096119, -4856.92
2.3719298245614038, 1089.8228296379186, -5045.64
2.396491228070176, 901.9313277628181, -4953.36
2.408771929824562, 585.992935110996, -4845.28
2.421052631578948, 556.6407818333113, -4794.76
2.38421052631579, 1077.1465267084138, -5074.28
2.44561403508772, 752.5864734367739, -4916.92
2.4333333333333336, 690.988538255158, -4821.76
2.470175438596492, 648.8511077281136, -4580.24
2.494736842105264, 415.4020702885338, -4543.72
2.4824561403508776, 649.4624546499974, -4722.24
2.5070175438596496, 504.6447859633546, -4357.32
2.5192982456140354, 362.4544661057441, -4283.52
2.5315789473684216, 420.59662385711084, -4507.52
2.5438596491228074, 353.71366951250275, -4345
2.5561403508771936, 392.9963867518377, -4334.56
2.4578947368421056, 771.1269674962742, -4738.68
2.5684210526315794, 301.8294882876754, -4268.68
2.580701754385965, 524.3178806792688, -4041.52
2.605263157894737, 359.319523544157, -4167.68
2.5929824561403514, 332.6182797141492, -4217
2.629824561403509, 236.40296106436568, -4225.08
2.6175438596491234, 276.49564191863857, -4152.76
2.6421052631578954, 185.0766327768041, -3995.12
2.654385964912281, 480.7192943912279, -4122.28
2.678947368421053, 265.7314433784606, -3962.08
2.666666666666667, 268.8484331365909, -4130.68
2.703508771929825, 399.952097131644, -3883.2
2.7280701754385968, 298.99505012625207, -3909.16
2.715789473684211, 410.66312227907684, -3719.16
2.691228070175439, 220.78260801068546, -3735.44
2.740350877192983, 237.30082174320427, -3791.72
2.7526315789473688, 168.19179528145835, -3995.6
2.789473684210527, 290.4291996339211, -3867.16
2.7771929824561408, 126.31484473330916, -3816.76
2.764912280701755, 493.5414065709178, -3761.36
2.8017543859649128, 227.61476226290773, -3705.84
2.826315789473685, 287.44919551113725, -3553.84
2.8140350877192986, 135.3803530797582, -3628.24
2.8385964912280706, 162.6432906701042, -3654.8
2.850877192982457, 133.01037553514388, -3660.12
2.8877192982456146, 299.57610051537824, -3492.72
2.8631578947368426, 156.7423363357839, -3746.52
2.8754385964912283, 302.5848641290572, -3487.2
2.9000000000000004, 158.5741466948506, -3497.96
2.9122807017543866, 191.02261646203047, -3483.56
2.9245614035087724, 416.0681194227695, -3458.08
2.9491228070175444, 110.55840085674177, -3401.36
2.96140350877193, 140.66812005568283, -3615.96
2.9736842105263164, 119.87643638346945, -3335.76
2.9368421052631586, 143.47836073777816, -3540.44
2.985964912280702, 171.53786753950277, -3358.96
2.9982456140350884, 109.63284179478337, -3501.84
3.010526315789474, 166.69409107703848, -3350.84
3.02280701754386, 144.29026301175003, -3146.44
3.047368421052632, 387.32358564900227, -3417.84
3.035087719298246, 228.68047577351243, -3381.92
3.059649122807018, 153.32657956140548, -3525.96
3.08421052631579, 120.61392954381347, -3197.24
3.1087719298245617, 185.544280429228, -3195
3.096491228070176, 273.0303279857386, -3120.52
3.121052631578948, 152.2022338863658, -3174.28
3.1333333333333337, 68.05203891140955, -2987.6
3.14561403508772, 131.98075617301183, -3144.4
3.071929824561404, 243.11100345315512, -3293.96
3.1701754385964915, 95.91204303944318, -3019.92
3.1578947368421058, 105.68897766560144, -3233.8
3.1824561403508778, 85.34119755428793, -3027.32
3.1947368421052635, 127.58369801820294, -3022.08
3.2192982456140355, 199.4938595546239, -3177.68
3.2070175438596498, 112.05445104947863, -3069.56
3.2438596491228076, 117.6482894053288, -2861.8
3.2561403508771933, 250.9347325501195, -3109.8
3.2684210526315796, 129.17259771329213, -2915.32
3.2929824561403516, 66.13289650393365, -3068.4
3.2807017543859653, 200.2826003426159, -2997.08
3.2315789473684218, 65.34217627229752, -3135.68
3.3052631578947373, 153.99584409976785, -2935.16
3.3298245614035094, 402.9103622395433, -2814
3.3175438596491236, 109.89576879934914, -2934.8
3.3543859649122814, 55.5298118131153, -3076.8
3.342105263157895, 147.81312526294815, -2857.8
3.3789473684210534, 159.28100953974393, -2935.52
3.366666666666667, 174.37568637857746, -2981.8
3.391228070175439, 188.6991255941585, -2871.64
3.403508771929825, 112.24241622488354, -2735.92
3.428070175438597, 227.68443073693027, -2894.6
3.415789473684211, 144.2026352047701, -2858.04
3.440350877192983, 123.23311243330666, -2780.04
3.452631578947369, 389.2207599807595, -2825.92
3.477192982456141, 83.30810284720208, -2766.52
3.464912280701755, 128.43613198784834, -2791.56
3.4894736842105267, 50.47851027912769, -2668.92
3.501754385964913, 122.98308826826558, -2691.48
3.526315789473685, 225.4503936567865, -2757
3.5385964912280707, 135.96587807240462, -2738.68
3.5508771929824565, 200.33971149025845, -2611.44
3.5140350877192987, 92.61662917640655, -2798.4
3.5754385964912285, 32.36232377317797, -2510.36
3.5877192982456148, 54.53402607546962, -2691.4
3.5631578947368427, 234.5540449448698, -2859.76
3.6000000000000005, 214.85250754878334, -2571.04
3.6245614035087725, 112.40142347853073, -2518.64
3.6491228070175445, 44.59775779117152, -2530.72
3.6122807017543868, 114.12572015106849, -2713.92
3.6614035087719303, 68.05997355274243, -2509.36
3.6368421052631583, 49.89669327721026, -2522.96
3.6736842105263166, 132.87467779829234, -2441.88
3.698245614035088, 202.23085817945787, -2405.12
3.7105263157894743, 79.16868067613606, -2643.36
3.72280701754386, 38.65643542801121, -2540.84
3.6859649122807023, 200.9926366810486, -2585.72
3.7350877192982463, 74.55280008155295, -2651.56
3.747368421052632, 104.2266760479293, -2349.28
3.771929824561404, 98.49507601905793, -2582.28
3.7596491228070184, 235.35182174778254, -2511
3.796491228070176, 108.42896292043008, -2254.08
3.808771929824562, 110.13736877191138, -2380
3.833333333333334, 133.3161655614202, -2412.68
3.821052631578948, 39.76732326923702, -2561.64
3.857894736842106, 221.00678722609402, -2395.24
3.78421052631579, 164.70931971203086, -2485.12
3.8701754385964917, 117.25766499466037, -2318.92
3.882456140350878, 153.63554276273445, -2154.96
3.9192982456140357, 180.77654715144882, -2436.16
3.8947368421052637, 103.48835683302735, -2614
3.90701754385965, 168.9924258657766, -2275
3.9315789473684215, 67.47117903223568, -2426.64
3.9438596491228077, 124.80849330073654, -2240.88
3.9561403508771935, 187.02021281134293, -2232.2
3.9684210526315797, 107.88920242545127, -2225.64
3.9807017543859655, 40.08940009528703, -2222.72
3.9929824561403513, 128.56609195273847, -2291.76
4.0052631578947375, 63.32266576826974, -2212.44
4.017543859649123, 163.45237838587727, -2242.24
4.029824561403509, 76.15247862019989, -2173.16
4.042105263157895, 228.41576127754408, -2384.28
4.0543859649122815, 147.11927134131682, -2180.6
4.066666666666667, 44.44547221033882, -2390.16
4.078947368421053, 87.16742510823639, -2264.4
4.091228070175439, 192.1072617055378, -2168.36
4.103508771929825, 41.147539416106035, -2184.48
4.11578947368421, 167, -2242.52
4.128070175438597, 184.6081254983106, -2114
4.152631578947369, 249.9691180926156, -2272.04
4.140350877192983, 49.73650570757861, -2358.88
4.1649122807017545, 241.11383203789865, -2279.64
4.17719298245614, 47.68773427203268, -2098.64
4.201754385964913, 87.69036435093653, -2179.28
4.2140350877192985, 174.35435182409412, -2143.16
4.226315789473684, 92.38463075641965, -1952.24
4.23859649122807, 105.75405429580466, -2224.2
3.8456140350877197, 72.86562975779458, -2416.72
4.250877192982457, 91.88318671008315, -2182.72
4.2631578947368425, 115.07076083871176, -1995.72
4.287719298245614, 165.6812602559505, -1965.96
4.275438596491228, 122.31614774836558, -2040
4.3, 54.74194004600129, -1876.4
4.3122807017543865, 128.84378137884653, -2123.44
4.324561403508772, 106.89340484800735, -2044.96
4.336842105263158, 102.90714260924749, -2071.52
4.189473684210527, 102.99961164975332, -2248.12
4.349122807017544, 52.11832691098209, -2148.68
4.373684210526316, 50.74288127412554, -2027.16
4.385964912280702, 66.72061150798905, -1929.52
4.398245614035088, 44.292663049313255, -2082.84
4.410526315789474, 147.1932063649678, -2042.72
4.435087719298246, 91.19407875514726, -2129.48
4.459649122807018, 42.92132337195581, -2045.52
4.471929824561403, 84.73629682727467, -1760.56
4.48421052631579, 45.29370817232787, -2045.6
4.496491228070176, 80.27403066994954, -1989.92
4.508771929824562, 156.06665242773678, -2014.08
4.521052631578947, 56.25513309912261, -2052.08
4.447368421052632, 31.515075757484702, -2064.96
4.533333333333333, 51.188670621534996, -2055.08
4.54561403508772, 57.410103640387206, -2032.56
4.557894736842106, 148.2147091215983, -1917.88
4.5701754385964914, 72.39530371508914, -1920.68
4.594736842105263, 41.52156066431029, -1907.48
4.582456140350877, 24.253659517689286, -1861.52
4.6192982456140355, 21.02379604162864, -1697.12
4.42280701754386, 49.13369515922856, -2026.92
4.631578947368421, 59.48041694541154, -1955.76
4.643859649122807, 102.45115909544411, -1795.48
4.656140350877194, 94.28106914964425, -1951.88
4.680701754385965, 79.68914606143048, -1897.88
4.6684210526315795, 44.85353943670444, -1806.4
4.692982456140351, 77.30666206737942, -1906.24
4.705263157894737, 118.50350205795607, -2089.28
4.7175438596491235, 45.55172883656558, -1769.16
4.729824561403509, 147.35698151088738, -1814.24
4.742105263157895, 45.29150030634887, -1978.24
4.754385964912281, 139.95842239751062, -1828.16
4.3614035087719305, 159.02364604045525, -2101.92
4.791228070175439, 89.37337411108524, -1879.32
4.778947368421053, 134.64055852528242, -1751.44
4.803508771929825, 36.13585477057378, -1950.32
4.815789473684211, 99.17540017564839, -1767.24
4.828070175438596, 148.68584330729, -1959.88
4.840350877192983, 271.38570338173673, -1780.08
4.852631578947369, 214.93431554779707, -1836.64
4.87719298245614, 155.20257729818792, -1875.32
4.864912280701755, 34.895845024873665, -1854.08
4.901754385964913, 67.09366587093002, -1710.88
4.914035087719299, 55.19166603754592, -1907.24
4.889473684210527, 39.419791983215745, -1862.16
4.926315789473684, 65.68622382204659, -1872.8
4.93859649122807, 155.468710678387, -1740.16
4.950877192982457, 304.14233509986735, -1704.44
4.975438596491228, 171.87856178127626, -1820.28
4.987719298245614, 130.55205858200782, -1757.68
4.963157894736843, 172.3680944954721, -1771.96
5, 57.07573915421508, -1730.4
4.60701754385965, 36.360968083922074, -1775.92
4.766666666666667, 41.29503602129437, -1892.4
